Packetlevel,Neighbour,Component,Depth,Train_AUC,Test_AUC,Train_TPR,Test_TPR,Train_FPR,Test_FPR
4,28,11,4,1.0,0.998,1.0,0.880952,0.774775,0.809524
4,28,11,5,1.0,0.998,1.0,0.904762,0.774775,0.857143
4,28,11,6,1.0,0.998,1.0,0.880952,0.774775,0.833333
4,28,11,7,1.0,0.998,1.0,0.904762,0.774775,0.857143
4,28,11,8,1.0,0.998,1.0,0.904762,0.774775,0.857143
4,28,11,9,1.0,0.998,1.0,0.904762,0.774775,0.857143
4,28,11,10,1.0,0.998,1.0,0.904762,0.774775,0.857143
4,28,11,11,1.0,0.998,1.0,0.904762,0.774775,0.857143
4,28,12,2,1.0,0.998,1.0,0.880952,0.792793,0.821429
4,28,12,3,1.0,0.998,1.0,0.904762,0.774775,0.845238
4,28,12,4,1.0,0.998,1.0,0.880952,0.774775,0.809524
4,28,12,5,1.0,0.998,1.0,0.904762,0.774775,0.880952
4,28,12,6,1.0,0.998,1.0,0.904762,0.774775,0.833333
4,28,12,7,1.0,0.998,1.0,0.880952,0.774775,0.833333
4,28,12,8,1.0,0.998,1.0,0.880952,0.774775,0.833333
4,28,12,9,1.0,0.998,1.0,0.880952,0.774775,0.833333
4,28,12,10,1.0,0.998,1.0,0.880952,0.774775,0.833333
4,28,12,11,1.0,0.998,1.0,0.880952,0.774775,0.833333
4,32,5,2,1.0,0.997,1.0,0.857143,0.783784,0.928571
4,32,5,3,1.0,0.997,1.0,0.809524,0.774775,0.869048
4,32,5,4,1.0,0.997,1.0,0.833333,0.774775,0.857143
4,32,5,5,1.0,0.997,1.0,0.833333,0.774775,0.869048
4,32,5,6,1.0,0.997,1.0,0.809524,0.774775,0.845238
4,32,5,7,1.0,0.997,1.0,0.833333,0.774775,0.880952
4,32,5,8,1.0,0.997,1.0,0.833333,0.774775,0.880952
4,32,5,9,1.0,0.997,1.0,0.833333,0.774775,0.880952
4,32,5,10,1.0,0.997,1.0,0.833333,0.774775,0.880952
4,32,5,11,1.0,0.997,1.0,0.833333,0.774775,0.880952
4,32,6,2,1.0,0.997,1.0,0.880952,0.774775,0.928571
4,32,6,3,1.0,0.997,1.0,0.857143,0.774775,0.892857
4,32,6,4,1.0,0.997,1.0,0.857143,0.774775,0.892857
4,32,6,5,1.0,0.997,1.0,0.880952,0.774775,0.928571
4,32,6,6,1.0,0.997,1.0,0.880952,0.774775,0.916667
4,32,6,7,1.0,0.997,1.0,0.857143,0.774775,0.892857
4,32,6,8,1.0,0.997,1.0,0.857143,0.774775,0.892857
4,32,6,9,1.0,0.997,1.0,0.857143,0.774775,0.892857
4,32,6,10,1.0,0.997,1.0,0.857143,0.774775,0.892857
4,32,6,11,1.0,0.997,1.0,0.857143,0.774775,0.892857
4,32,7,2,1.0,0.997,1.0,0.880952,0.774775,0.928571
4,32,7,3,1.0,0.997,1.0,0.857143,0.774775,0.892857
4,32,7,4,1.0,0.997,1.0,0.833333,0.774775,0.869048
4,32,7,5,1.0,0.997,1.0,0.833333,0.774775,0.880952
4,32,7,6,1.0,0.997,1.0,0.857143,0.774775,0.892857
4,32,7,7,1.0,0.997,1.0,0.880952,0.774775,0.916667
4,32,7,8,1.0,0.997,1.0,0.880952,0.774775,0.916667
4,32,7,9,1.0,0.997,1.0,0.880952,0.774775,0.916667
4,32,7,10,1.0,0.997,1.0,0.880952,0.774775,0.916667
4,32,7,11,1.0,0.997,1.0,0.880952,0.774775,0.916667
4,32,8,2,1.0,0.997,1.0,0.880952,0.774775,0.869048
4,32,8,3,1.0,0.997,1.0,0.857143,0.774775,0.916667
4,32,8,4,1.0,0.997,1.0,0.857143,0.774775,0.928571
4,32,8,5,1.0,0.997,1.0,0.833333,0.774775,0.880952
4,32,8,6,1.0,0.997,1.0,0.857143,0.774775,0.892857
4,32,8,7,1.0,0.997,1.0,0.880952,0.774775,0.916667
4,32,8,8,1.0,0.997,1.0,0.880952,0.774775,0.916667
4,32,8,9,1.0,0.997,1.0,0.880952,0.774775,0.916667
4,32,8,10,1.0,0.997,1.0,0.880952,0.774775,0.916667
4,32,8,11,1.0,0.997,1.0,0.880952,0.774775,0.916667
4,32,9,2,1.0,0.997,1.0,0.880952,0.774775,0.869048
4,32,9,3,1.0,0.997,1.0,0.857143,0.774775,0.916667
4,32,9,4,1.0,0.997,1.0,0.833333,0.774775,0.916667
4,32,9,5,1.0,0.997,1.0,0.857143,0.774775,0.916667
4,32,9,6,1.0,0.997,1.0,0.880952,0.774775,0.928571
4,32,9,7,1.0,0.997,1.0,0.857143,0.774775,0.904762
4,32,9,8,1.0,0.997,1.0,0.857143,0.774775,0.904762
4,32,9,9,1.0,0.997,1.0,0.857143,0.774775,0.904762
4,32,9,10,1.0,0.997,1.0,0.857143,0.774775,0.904762
4,32,9,11,1.0,0.997,1.0,0.857143,0.774775,0.904762
4,32,10,2,1.0,0.997,1.0,0.880952,0.774775,0.869048
4,32,10,3,1.0,0.997,1.0,0.857143,0.774775,0.904762
4,32,10,4,1.0,0.997,1.0,0.833333,0.774775,0.904762
4,32,10,5,1.0,0.997,1.0,0.857143,0.774775,0.904762
4,32,10,6,1.0,0.997,1.0,0.857143,0.774775,0.928571
4,32,10,7,1.0,0.997,1.0,0.857143,0.774775,0.928571
4,32,10,8,1.0,0.997,1.0,0.857143,0.774775,0.928571
4,32,10,9,1.0,0.997,1.0,0.857143,0.774775,0.928571
4,32,10,10,1.0,0.997,1.0,0.857143,0.774775,0.928571
4,32,10,11,1.0,0.997,1.0,0.857143,0.774775,0.928571
4,32,11,2,1.0,0.997,1.0,0.880952,0.774775,0.904762
4,32,11,3,1.0,0.997,1.0,0.857143,0.774775,0.904762
4,32,11,4,1.0,0.997,1.0,0.833333,0.774775,0.904762
4,32,11,5,1.0,0.997,1.0,0.833333,0.774775,0.880952
4,32,11,6,1.0,0.997,1.0,0.880952,0.774775,0.916667
